Entity,Code,Year,Share of the population that was born in another country
Afghanistan,AFG,1990,0.47889447
Afghanistan,AFG,1995,0.41909462
Afghanistan,AFG,2000,0.3771275
Afghanistan,AFG,2005,0.3577773
Afghanistan,AFG,2010,0.3616026
Afghanistan,AFG,2015,1.0032939
Afghanistan,AFG,2020,0.3688297
Afghanistan,AFG,2024,0.2300487
Africa,,1990,2.5128212
Africa,,1995,2.2729368
Africa,,2000,1.8557024
Africa,,2005,1.7614838
Africa,,2010,1.655656
Africa,,2015,1.8592234
Africa,,2020,1.8298789
Africa,,2024,1.9259226
Albania,ALB,1990,2.0138402
Albania,ALB,1995,2.1897357
Albania,ALB,2000,2.4223442
Albania,ALB,2005,2.10454
Albania,ALB,2010,1.8022878
Albania,ALB,2015,1.7950191
Albania,ALB,2020,1.6995398
Albania,ALB,2024,1.6612072
Algeria,DZA,1990,1.0795872
Algeria,DZA,1995,0.9203732
Algeria,DZA,2000,0.8093155
Algeria,DZA,2005,0.59719867
Algeria,DZA,2010,0.6003829
Algeria,DZA,2015,0.59839034
Algeria,DZA,2020,0.56849706
Algeria,DZA,2024,0.554228
American Samoa,ASM,1990,45.632504
American Samoa,ASM,1995,44.15093
American Samoa,ASM,2000,43.816727
American Samoa,ASM,2005,42.801632
American Samoa,ASM,2010,42.650467
American Samoa,ASM,2015,44.466507
American Samoa,ASM,2020,47.442776
American Samoa,ASM,2024,50.644714
Andorra,AND,1990,73.94148
Andorra,AND,1995,69.16698
Andorra,AND,2000,64.16534
Andorra,AND,2005,64.96687
Andorra,AND,2010,64.49706
Andorra,AND,2015,58.558483
Andorra,AND,2020,58.896355
Andorra,AND,2024,59.078815
Angola,AGO,1990,0.28828454
Angola,AGO,1995,0.29061055
Angola,AGO,2000,0.28470746
Angola,AGO,2005,0.32310653
Angola,AGO,2010,1.4439559
Angola,AGO,2015,2.2451258
Angola,AGO,2020,1.962367
Angola,AGO,2024,1.7856456
Anguilla,AIA,1990,30.59888
Anguilla,AIA,1995,34.14659
Anguilla,AIA,2000,36.351437
Anguilla,AIA,2005,38.183746
Anguilla,AIA,2010,38.23904
Anguilla,AIA,2015,38.501057
Anguilla,AIA,2020,38.503
Anguilla,AIA,2024,40.5398
Antigua and Barbuda,ATG,1990,19.07367
Antigua and Barbuda,ATG,1995,25.73729
Antigua and Barbuda,ATG,2000,30.797468
Antigua and Barbuda,ATG,2005,31.077364
Antigua and Barbuda,ATG,2010,30.9564
Antigua and Barbuda,ATG,2015,31.408472
Antigua and Barbuda,ATG,2020,31.994862
Antigua and Barbuda,ATG,2024,32.496906
Argentina,ARG,1990,5.0309563
Argentina,ARG,1995,4.5328174
Argentina,ARG,2000,4.1485777
Argentina,ARG,2005,4.18586
Argentina,ARG,2010,4.358772
Argentina,ARG,2015,4.2703323
Argentina,ARG,2020,4.231491
Argentina,ARG,2024,4.2849092
Armenia,ARM,1990,12.205107
Armenia,ARM,1995,18.806553
Armenia,ARM,2000,18.819962
Armenia,ARM,2005,15.860157
Armenia,ARM,2010,7.1943836
Armenia,ARM,2015,6.5349
Armenia,ARM,2020,7.165228
Armenia,ARM,2024,9.235366
Aruba,ABW,1990,22.417084
Aruba,ABW,1995,29.33955
Aruba,ABW,2000,33.9158
Aruba,ABW,2005,34.532528
Aruba,ABW,2010,34.28891
Aruba,ABW,2015,34.663673
Aruba,ABW,2020,49.90037
Aruba,ABW,2024,68.00844
Asia,,1990,1.4539077
Asia,,1995,1.2842467
Asia,,2000,1.2695566
Asia,,2005,1.28873
Asia,,2010,1.5134797
Asia,,2015,1.7441233
Asia,,2020,1.802382
Asia,,2024,1.9137963
Australia,AUS,1990,23.306269
Australia,AUS,1995,23.296854
Australia,AUS,2000,22.944485
Australia,AUS,2005,24.050474
Australia,AUS,2010,26.555475
Australia,AUS,2015,28.115314
Australia,AUS,2020,29.540522
Australia,AUS,2024,30.364773
Austria,AUT,1990,8.252397
Austria,AUT,1995,9.619208
Austria,AUT,2000,11.482008
Austria,AUT,2005,14.267491
Austria,AUT,2010,15.369897
Austria,AUT,2015,17.821367
Austria,AUT,2020,19.96374
Austria,AUT,2024,25.513779
Azerbaijan,AZE,1990,5.5617857
Azerbaijan,AZE,1995,7.627808
Azerbaijan,AZE,2000,6.4040585
Azerbaijan,AZE,2005,3.5118446
Azerbaijan,AZE,2010,2.7486727
Azerbaijan,AZE,2015,2.30022
Azerbaijan,AZE,2020,1.9534402
Azerbaijan,AZE,2024,2.1134655
Bahamas,BHS,1990,9.732012
Bahamas,BHS,1995,10.500197
Bahamas,BHS,2000,11.256968
Bahamas,BHS,2005,13.239836
Bahamas,BHS,2010,14.8974905
Bahamas,BHS,2015,15.373457
Bahamas,BHS,2020,16.06187
Bahamas,BHS,2024,16.767467
Bahrain,BHR,1990,34.377045
Bahrain,BHR,1995,36.043507
Bahrain,BHR,2000,35.682613
Bahrain,BHR,2005,41.56008
Bahrain,BHR,2010,52.998985
Bahrain,BHR,2015,52.68061
Bahrain,BHR,2020,52.996777
Bahrain,BHR,2024,52.282288
Bangladesh,BGD,1990,0.7897408
Bangladesh,BGD,1995,0.7624243
Bangladesh,BGD,2000,0.73422134
Bangladesh,BGD,2005,0.7340388
Bangladesh,BGD,2010,0.8840529
Bangladesh,BGD,2015,0.8923018
Bangladesh,BGD,2020,1.2720584
Bangladesh,BGD,2024,1.6745209
Barbados,BRB,1990,9.290669
Barbados,BRB,1995,10.00767
Barbados,BRB,2000,10.846247
Barbados,BRB,2005,11.396843
Barbados,BRB,2010,11.925825
Barbados,BRB,2015,12.357074
Barbados,BRB,2020,12.37815
Barbados,BRB,2024,12.45703
Belarus,BLR,1990,12.261388
Belarus,BLR,1995,11.633109
Belarus,BLR,2000,11.245629
Belarus,BLR,2005,11.4501505
Belarus,BLR,2010,11.488847
Belarus,BLR,2015,11.414268
Belarus,BLR,2020,11.411575
Belarus,BLR,2024,11.644467
Belgium,BEL,1990,9.480404
Belgium,BEL,1995,9.902414
Belgium,BEL,2000,10.502397
Belgium,BEL,2005,11.865307
Belgium,BEL,2010,14.333845
Belgium,BEL,2015,16.09663
Belgium,BEL,2020,17.73792
Belgium,BEL,2024,20.010899
