iso3n,oecd,country
AUS,OECD,Australia
AUT,OECD,Austria
BEL,OECD,Belgium
CAN,OECD,Canada
CHL,OECD,Chile
CZE,OECD,Czech Republic
DNK,OECD,Denmark
EST,OECD,Estonia
FIN,OECD,Finland
FRA,OECD,France
DEU,OECD,Germany
GRC,OECD,Greece
HUN,OECD,Hungary
ISL,OECD,Iceland
IRL,OECD,Ireland
ISR,OECD,Israel
ITA,OECD,Italy
JPN,OECD,Japan
KOR,OECD,Korea
LVA,OECD,Latvia
LTU,OECD,Lithuania
LUX,OECD,Luxembourg
MEX,OECD,Mexico
NLD,OECD,Netherlands
NZL,OECD,New Zealand
NOR,OECD,Norway
POL,OECD,Poland
PRT,OECD,Portugal
SVK,OECD,Slovak Republic
SVN,OECD,Slovenia
ESP,OECD,Spain
SWE,OECD,Sweden
CHE,OECD,Switzerland
TUR,OECD,Turkey
GBR,OECD,United Kingdom
USA,OECD,United States
ARG,Non-OECD,Argentina
BRA,Non-OECD,Brazil
BGR,Non-OECD,Bulgaria
CHN,Non-OECD,China (People's Republic of)
COL,Non-OECD,Colombia
CRI,Non-OECD,Costa Rica
HRV,Non-OECD,Croatia
CYP,Non-OECD,Cyprus
IND,Non-OECD,India
IDN,Non-OECD,Indonesia
HKG,Non-OECD,"Hong Kong, China"
MYS,Non-OECD,Malaysia
MLT,Non-OECD,Malta
MAR,Non-OECD,Morocco
PHL,Non-OECD,Philippines
ROU,Non-OECD,Romania
RUS,Non-OECD,Russian Federation
SAU,Non-OECD,Saudi Arabia
SGP,Non-OECD,Singapore
ZAF,Non-OECD,South Africa
TWN,Non-OECD,Chinese Taipei
THA,Non-OECD,Thailand
VNM,Non-OECD,Viet Nam
SUR,Non-OECD,
