country;iso3n;gv_spen;individualism;gini;gdp;;;;;;;;;;;;;
Australia;AU;36.85;0.83;0.49;50,419;;;;;;;;;;;;;
Austria;AT;51.43;0.64;0.44;53,34;;;;;;;;;;;;;
Chile;CL;23.71;0.34;0.71;22,929;;;;;;;;;;;;;
China;CN;28.81;0.23;0.56;13,162;;;;;;;;;;;;;
Taiwan;TW;18.98;0.31;0.45;47,479;;;;;;;;;;;;;
Croatia;HR;47.81;0.41;0.47;24,31;;;;;;;;;;;;;
Czech Rcpublic;CZ;42.64;0.56;0.38;36,833;;;;;;;;;;;;;
Denmark;DK;55.59;0.90;0.44;50,685;;;;;;;;;;;;;
Estonia;EE;38.87;0.55;0.49;32,299;;;;;;;;;;;;;
Finland;Fl;55.60;0.76;0.44;44,628;;;;;;;;;;;;;
France;FR;56.89;0.71;0.43;42,189;;;;;;;;;;;;;
Germany;DE;45.15;0.75;0.50;49,141;;;;;;;;;;;;;
Hungary;HU;49.26;0.51;0.42;29,139;;;;;;;;;;;;;
Iceland;IS;46.97;0.83;0.39;54,587;;;;;;;;;;;;;
India;IN;27.08;0.22;0.63;5,771;;;;;;;;;;;;;
Israel;IL;39.36;0.57;0.60;40,774;;;;;;;;;;;;;
Japan;JP;38.10;0.53;0.54;38,999;;;;;;;;;;;;;
Lithuania;LT;36.31;0.44;0.50;31,236;;;;;;;;;;;;;S
Mexico;MX;27.74;0.36;0.71;19,311;;;;;;;;;;;;;
New Zealand;NZ;39.33;0.88;0.45;39,566;;;;;;;;;;;;;
Philippines;PH;17.90;0.25;0.59;7,433;;;;;;;;;;;;;
Russia;RU;34.89;0.27;0.55;25,379;;;;;;;;;;;;;
Slovak Republic;SK;42.79;0.47;0.39;30,208;;;;;;;;;;;;;
Slovenia;Sl;50.91;0.46;0.41;34,515;;;;;;;;;;;;;
South Africa;ZA;29.04;0.41;0.75;12,862;;;;;;;;;;;;;
Spain;ES;45.45;0.57;0.46;38,162;;;;;;;;;;;;;
Suriname;SR;25.57;0.42;0.63;13,907;;;;;;;;;;;;;
Sweden;SE;49.34;0.92;0.39;53,319;;;;;;;;;;;;;
Switzerland;CH;31.72;0.79;0.43;68,208;;;;;;;;;;;;;
Thailand;TH;21.82;0.27;0.61;16,561;;;;;;;;;;;;;
Turkey;TR;34.03;0.24;0.61;25,007;;;;;;;;;;;;;
United Kingdom;GB;41.89;0.82;0.47;44,878;;;;;;;;;;;;;
United States;US;36.83;0.75;0.58;59,704;;;;;;;;;;;;;
