country;iso3c;ccode;pc10_2015;pc10_2016;pc10_2017;pc10_2018;pc10_2019;pc10_2020;pc10_2021;pc50_2015;pc50_2016;pc50_2017;pc50_2018;pc50_2019;pc50_2020;pc50_2021
Australia;AUS;36;0.3447;0.3375;0.3439;0.3378;0.3293;0.3293;0.3293;0.1716;0.174;0.1729;0.1783;0.1716;0.1716;0.1716
Austria;AUT;40;0.3331;0.3417;0.3338;0.3343;0.3311;0.346;0.3445;0.2198;0.2181;0.2241;0.2234;0.2266;0.2211;0.2216
China;CHN;156;0.4166;0.418;0.4283;0.4253;0.4236;0.432;0.4335;0.1436;0.1411;0.1386;0.1393;0.1398;0.1377;0.1374
Croatia;HRV;191;0.3429;0.3316;0.3322;0.3493;0.3471;0.3439;0.3443;0.1912;0.1943;0.1916;0.1899;0.1904;0.1911;0.191
Czech Republic;CZE;203;0.3083;0.2989;0.2964;0.2886;0.2897;0.2931;0.2928;0.2451;0.2536;0.2513;0.2534;0.2532;0.252;0.2521
Denmark;DNK;208;0.3319;0.3349;0.3351;0.3351;0.3324;0.337;0.3435;0.2195;0.2181;0.2167;0.215;0.2162;0.2144;0.212
Estonia;EST;233;0.3588;0.3541;0.3539;0.3555;0.4076;0.4008;0.4014;0.1726;0.1779;0.18;0.1812;0.1662;0.1683;0.1681
Finland;FIN;246;0.3293;0.329;0.3386;0.3359;0.3312;0.3398;0.3469;0.2137;0.2159;0.2155;0.2166;0.218;0.215;0.2123
France;FRA;250;0.3247;0.3228;0.32;0.321;0.3242;0.3103;0.3117;0.2263;0.2279;0.2292;0.2277;0.2264;0.2322;0.2316
Germany;DEU;276;0.3817;0.381;0.3781;0.3737;0.3745;0.3728;0.3781;0.1824;0.1843;0.1858;0.1885;0.188;0.1888;0.1863
Hungary;HUN;348;0.3288;0.3306;0.3299;0.3248;0.3289;0.325;0.3254;0.2302;0.2321;0.2317;0.2245;0.2236;0.2254;0.2253
Iceland;ISL;352;0.2962;0.2929;0.2921;0.2809;0.2803;0.2801;0.2921;0.2385;0.2413;0.2491;0.2549;0.2567;0.2571;0.2544
India;IND;356;0.5713;0.5713;0.5713;0.5713;0.5713;0.5713;0.5713;0.1313;0.1313;0.1313;0.1313;0.1313;0.1313;0.1313
Israel;ISR;376;0.4809;0.478;0.478;0.478;0.478;0.478;0.478;0.1302;0.1317;0.1317;0.1317;0.1317;0.1317;0.1317
Japan;JPN;392;0.4432;0.4427;0.4424;0.4424;0.4424;0.4424;0.4424;0.1673;0.1678;0.1682;0.1682;0.1682;0.1682;0.1682
Lithuania;LTU;440;0.3766;0.375;0.388;0.3751;0.4319;0.4298;0.4301;0.1726;0.1737;0.1696;0.1774;0.0762;0.0761;0.0761
Mexico;MEX;484;0.631;0.6279;0.6419;0.656;0.6494;0.6428;0.6428;0.06;0.0636;0.0631;0.0626;0.0622;0.0618;0.0618
New Zealand;NZL;554;0.3383;0.337;0.3445;0.3465;0.3457;0.3457;0.3457;0.1945;0.1993;0.196;0.1955;0.1957;0.1957;0.1957
Philippines;PHL;608;0.4697;0.4647;0.4594;0.454;0.454;0.454;0.4942;0.1323;0.1357;0.1395;0.1435;0.1435;0.1435;0.1305
Russian Federation;RUS;643;0.4486;0.453;0.4509;0.4598;0.4616;0.5077;0.5077;0.1708;0.1702;0.1734;0.1703;0.1699;0.1568;0.1568
Slovakia;SVK;703;0.317;0.2946;0.2747;0.275;0.2678;0.2643;0.2647;0.2389;0.2449;0.2495;0.2415;0.2448;0.2461;0.246
Slovenia;SVN;705;0.2902;0.2939;0.2947;0.296;0.2957;0.2998;0.2994;0.2255;0.2249;0.2285;0.2307;0.2307;0.229;0.2292
South Africa;ZAF;710;0.6541;0.6541;0.6541;0.6541;0.6541;0.6541;0.6541;0.058;0.058;0.058;0.058;0.058;0.058;0.058
Spain;ESP;724;0.3532;0.3511;0.3507;0.3465;0.3412;0.3333;0.3341;0.2037;0.2023;0.2063;0.2107;0.2122;0.2156;0.2153
Suriname;SUR;740;0.5283;0.5276;0.5311;0.5269;0.5179;0.5331;0.5331;0.1052;0.1057;0.1035;0.1037;0.1039;0.0932;0.0932
Sweden;SWE;752;0.3109;0.2933;0.3027;0.2964;0.3049;0.3211;0.32;0.2353;0.243;0.2408;0.2424;0.239;0.2325;0.2329
Switzerland;CHE;756;0.3272;0.3255;0.3215;0.3124;0.3084;0.304;0.3043;0.225;0.2235;0.2259;0.2312;0.2331;0.2349;0.2347
Taiwan;TWN;158;0.4732;0.491;0.4812;0.4812;0.4812;0.4812;0.4812;0.1129;0.1092;0.1179;0.1179;0.1179;0.1179;0.1179
Thailand;THA;764;0.5029;0.5072;0.5013;0.4949;0.4879;0.4879;0.5597;0.1338;0.1307;0.1323;0.1338;0.1389;0.1389;0.0966
Turkey;TUR;792;0.5208;0.5239;0.5317;0.532;0.5144;0.5303;0.5168;0.142;0.1392;0.1381;0.1368;0.1437;0.1372;0.1418
USA;USA;840;0.4551;0.4532;0.4546;0.4583;0.4569;0.4441;0.456;0.1318;0.1303;0.1346;0.1332;0.1357;0.1386;0.1382
United Kingdom;GBR;826;0.3569;0.3572;0.3612;0.3612;0.3579;0.3583;0.3582;0.1986;0.2002;0.2034;0.2019;0.2029;0.2028;0.2028
