Downloaded from wid.world on 28-07-2023 at 10:54:41
Country;Percentile;"sptinc_z_2015
Pre-tax national income 
Bottom 50% | share | adults | equal split
2015";"sptinc_z_2016
Pre-tax national income 
Bottom 50% | share | adults | equal split
2016";"sptinc_z_2017
Pre-tax national income 
Bottom 50% | share | adults | equal split
2017";"sptinc_z_2018
Pre-tax national income 
Bottom 50% | share | adults | equal split
2018";"sptinc_z_2019
Pre-tax national income 
Bottom 50% | share | adults | equal split
2019";"sptinc_z_2020
Pre-tax national income 
Bottom 50% | share | adults | equal split
2020";"sptinc_z_2021
Pre-tax national income 
Bottom 50% | share | adults | equal split
2021"
 Australia;p0p50;0.1716;0.174;0.1729;0.1783;0.1716;0.1716;0.1716
 Austria;p0p50;0.2198;0.2181;0.2241;0.2234;0.2266;0.2211;0.2216
 China;p0p50;0.1436;0.1411;0.1386;0.1393;0.1398;0.1377;0.1374
 Croatia;p0p50;0.1912;0.1943;0.1916;0.1899;0.1904;0.1911;0.191
 Czech Republic;p0p50;0.2451;0.2536;0.2513;0.2534;0.2532;0.252;0.2521
 Denmark;p0p50;0.2195;0.2181;0.2167;0.215;0.2162;0.2144;0.212
 Estonia;p0p50;0.1726;0.1779;0.18;0.1812;0.1662;0.1683;0.1681
 Finland;p0p50;0.2137;0.2159;0.2155;0.2166;0.218;0.215;0.2123
 France;p0p50;0.2263;0.2279;0.2292;0.2277;0.2264;0.2322;0.2316
 Germany;p0p50;0.1824;0.1843;0.1858;0.1885;0.188;0.1888;0.1863
 Hungary;p0p50;0.2302;0.2321;0.2317;0.2245;0.2236;0.2254;0.2253
 Iceland;p0p50;0.2385;0.2413;0.2491;0.2549;0.2567;0.2571;0.2544
 India;p0p50;0.1313;0.1313;0.1313;0.1313;0.1313;0.1313;0.1313
 Israel;p0p50;0.1302;0.1317;0.1317;0.1317;0.1317;0.1317;0.1317
 Japan;p0p50;0.1673;0.1678;0.1682;0.1682;0.1682;0.1682;0.1682
 Lithuania;p0p50;0.1726;0.1737;0.1696;0.1774;0.0762;0.0761;0.0761
 Mexico;p0p50;0.06;0.0636;0.0631;0.0626;0.0622;0.0618;0.0618
 New Zealand;p0p50;0.1945;0.1993;0.196;0.1955;0.1957;0.1957;0.1957
 Philippines;p0p50;0.1323;0.1357;0.1395;0.1435;0.1435;0.1435;0.1305
 Russian Federation;p0p50;0.1708;0.1702;0.1734;0.1703;0.1699;0.1568;0.1568
 Slovakia;p0p50;0.2389;0.2449;0.2495;0.2415;0.2448;0.2461;0.246
 Slovenia;p0p50;0.2255;0.2249;0.2285;0.2307;0.2307;0.229;0.2292
 South Africa;p0p50;0.058;0.058;0.058;0.058;0.058;0.058;0.058
 Spain;p0p50;0.2037;0.2023;0.2063;0.2107;0.2122;0.2156;0.2153
 Suriname;p0p50;0.1052;0.1057;0.1035;0.1037;0.1039;0.0932;0.0932
 Sweden;p0p50;0.2353;0.243;0.2408;0.2424;0.239;0.2325;0.2329
 Switzerland;p0p50;0.225;0.2235;0.2259;0.2312;0.2331;0.2349;0.2347
 Taiwan;p0p50;0.1129;0.1092;0.1179;0.1179;0.1179;0.1179;0.1179
 Thailand;p0p50;0.1338;0.1307;0.1323;0.1338;0.1389;0.1389;0.0966
 Turkey;p0p50;0.142;0.1392;0.1381;0.1368;0.1437;0.1372;0.1418
 USA;p0p50;0.1318;0.1303;0.1346;0.1332;0.1357;0.1386;0.1382
 United Kingdom;p0p50;0.1986;0.2002;0.2034;0.2019;0.2029;0.2028;0.2028
