Downloaded from wid.world on 28-07-2023 at 10:54:41
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources;Extrapolations;Data points
AU;Australia;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wordpress.wid.world/document/2021-dina-regional-update-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2021-19/[/URL_LINK][URL_TEXT]Fisher-Post, M. (2021), “Simplified DINA for Australia, Canada and New Zealand”[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wordpress.wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. “Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality” (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]";[[1820, 1910], [2019, 2021]];
AT;Austria;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1982-2002: extrapolated survey + tax data, 2003-2019: survey + tax data, 2020-2021: extrapolated distribution;"Before 2003, [URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”; [/URL_TEXT][/URL] After 2003, Stefan Jestl and Emanuel List, “Distributional National Accounts (DINA) for Austria, 2004-2016”; [URL][URL_LINK]http://wordpress.wid.world/document/2022-dina-regional-update-for-europe-world-inequality-lab-technical-note-2022-02/[/URL_LINK][URL_TEXT]Updated by Neef and Sodano (2022), “2022 DINA Regional Update for Europe”[/URL_TEXT][/URL]";[[1980, 2003], [2017, 2021]];
CN;China;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/t-piketty-l-yang-and-g-zucman-capital-accumulation-private-property-and-inequality-in-china-1978-2015-2016/[/URL_LINK][URL_TEXT]Piketty, Thomas; Yang, Li and Zucman, Gabriel (2016). Capital Accumulation, Private Property and Rising Inequality in China, 1978-2015; [/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2022-dina-regional-update-for-east-asia-world-inequality-lab-technical-note-2022-04/[/URL_LINK][URL_TEXT]Updated by Sehyun, H., Zhexun, M. (2022), ""2022 Regional DINA Update for Asia""; [/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wordpress.wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]";[[1820, 1978], [2017, 2021]];
HR;Croatia;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1983: survey + concept correction + tax data, 1984-1985: survey + concept correction + interpolated tax data, 1986-1988: survey + concept correction + tax data, 1989: interpolated survey + concept correction + tax data, 1990: survey + concept correction + interpolated tax data, 1991-1996: interpolated survey + concept correction + interpolated tax data, 1997: interpolated survey + concept correction + tax data, 1998: survey + concept correction + interpolated tax data, 1999-2008: interpolated survey + concept correction + tax data, 2009-2013: survey + tax data, 2014-2019: extrapolated distribution using survey data, 2020-2021: extrapolated distribution;Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?” + Updates by Neef and Sodano (2022);[[1980, 1983], [1990, 1997], [2019, 2021]];
CZ;Czech Republic;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: survey + concept correction + tax data, 1981: survey + concept correction + interpolated tax data, 1982-1984: interpolated survey + concept correction + interpolated tax data, 1985: survey + concept correction + tax data, 1986-1987: interpolated survey + concept correction + interpolated tax data, 1988: survey + concept correction + tax data, 1989-1990: survey + concept correction + interpolated tax data, 1991: interpolated survey + concept correction + interpolated tax data, 1992-2003: survey + concept correction + tax data, 2004-2015: survey + tax data, 2016-2019: extrapolated distribution using survey data, 2020-2021: extrapolated distribution;Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?” + Updates by Neef and Sodano (2022);[[1980, 2002], [2019, 2021]];[1980, 1985, 1988, 1992, 1996]
DK;Denmark;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: interpolated survey + concept correction + tax data, 1981: survey + concept correction + tax data, 1982-1986: interpolated survey + concept correction + tax data, 1987: survey + concept correction + tax data, 1988-1991: interpolated survey + concept correction + tax data, 1992: survey + concept correction + tax data, 1993-1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996: interpolated survey + concept correction + tax data, 1997-2002: survey + concept correction + tax data, 2003-2010: survey + tax data, 2011-2019: extrapolated distribution using survey data, 2020-2021: extrapolated distribution;Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?” + Updates by Neef and Sodano (2022);[[2018, 2021]];
EE;Estonia;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1988: survey + concept correction + tax data, 1989-1991: interpolated survey + concept correction + tax data, 1992-1993: survey + concept correction + tax data, 1994-1995: interpolated survey + concept correction + tax data, 1996-2002: survey + concept correction + tax data, 2003-2019: survey + tax data, 2020: extrapolated distribution + tax data, 2021: extrapolated distribution;Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?” + Updates by Neef and Sodano (2022);[[1980, 1992], [1993, 1998], [2019, 2021]];[1988]
FI;Finland;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: interpolated survey + concept correction + tax data, 1981: survey + concept correction + tax data, 1982-1984: interpolated survey + concept correction + tax data, 1985: survey + concept correction + tax data, 1986: interpolated survey + concept correction + tax data, 1987-2002: survey + concept correction + tax data, 2003-2009: survey + tax data, 2010-2019: extrapolated distribution using survey data, 2020-2021: extrapolated distribution;Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?” + Updates by Neef and Sodano (2022);[[2018, 2021]];
FR;France;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"Before 2014, [URL][URL_LINK]http://wid.world/document/b-garbinti-j-goupille-and-t-piketty-inequality-dynamics-in-france-1900-2014-evidence-from-distributional-national-accounts-2016/[/URL_LINK][URL_TEXT]Garbinti, Goupille-Lebret and Piketty (2018), Income inequality in France, 1900-2014: Evidence from Distributional National Accounts (DINA), Journal of Public Economics; [/URL_TEXT][/URL] After 2014, [URL][URL_LINK]https://wid.world/document/predistribution-vs-redistribution-evidence-from-france-and-the-u-s/[/URL_LINK][URL_TEXT]Bozio, A., Garbinti, B., Goupille-Lebret, J., Guillot, M., Piketty, T. “Predistribution vs. Redistribution: Evidence from France and the U.S.”, World Inequality Lab WP 2020/22[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wordpress.wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. “Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality” (2021)[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wordpress.wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. “Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality” (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]";[[1820, 1900], [2019, 2021]];
DE;Germany;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: extrapolated distribution + tax data, 1981: survey + concept correction + interpolated tax data, 1982: interpolated survey + concept correction + interpolated tax data, 1983: interpolated survey + concept correction + tax data, 1984-1985: survey + concept correction + interpolated tax data, 1986: survey + concept correction + tax data, 1987-1988: survey + concept correction + interpolated tax data, 1989: survey + concept correction + tax data, 1990-1991: survey + concept correction + interpolated tax data, 1992: survey + concept correction + tax data, 1993-1994: survey + concept correction + interpolated tax data, 1995: survey + concept correction + tax data, 1996-1997: survey + concept correction + interpolated tax data, 1998: survey + concept correction + tax data, 1999-2000: survey + concept correction + interpolated tax data, 2001-2003: survey + concept correction + tax data, 2004-2013: survey + tax data, 2014-2019: extrapolated distribution using survey data, 2020-2021: extrapolated distribution;"Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?” + Updates by Neef and Sodano (2022)[URL][URL_LINK]http://wordpress.wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]";[[1820, 1980], [2018, 2021]];
